time,date,AJ1440,VR2386,EBV374,TCX177,ZOZ283
13:54,27-03-2023,-26075.0,-2844.0,,,
13:55,27-03-2023,-24598.0,-2629.0,,,
13:56,27-03-2023,-24358.0,-4689.0,,,
13:57,27-03-2023,-23638.0,-4034.0,,,
13:58,27-03-2023,-24253.0,-3529.0,,,
13:59,27-03-2023,-23270.0,-5414.0,,,
14:00,27-03-2023,-23398.0,-4689.0,,,
14:01,27-03-2023,-23555.0,-4464.0,,,
14:02,27-03-2023,-24365.0,-5674.0,,,
14:03,27-03-2023,-25498.0,-3539.0,,,
14:04,27-03-2023,-23398.0,-6524.0,,,
14:05,27-03-2023,-23428.0,-4764.0,,,
14:06,27-03-2023,-23578.0,-6284.0,,,
14:07,27-03-2023,-22880.0,-5419.0,,,
14:08,27-03-2023,-24613.0,-5679.0,,,
14:09,27-03-2023,-25715.0,-3414.0,,,
14:10,27-03-2023,-25168.0,-1229.0,,,
14:11,27-03-2023,-25295.0,-4294.0,,,
14:12,27-03-2023,-26795.0,-4239.0,,,
14:13,27-03-2023,-22190.0,-4254.0,,,
14:14,27-03-2023,-20120.0,-7329.0,,,
14:15,27-03-2023,-18373.0,-8029.0,,,
14:16,27-03-2023,-20030.0,-11344.0,,,
14:17,27-03-2023,-20758.0,-6824.0,,,
14:18,27-03-2023,-20128.0,-8024.0,,,
14:19,27-03-2023,-20158.0,-6644.0,,,
14:20,27-03-2023,-18988.0,-9319.0,,,
14:21,27-03-2023,,-12429.0,,,
14:22,27-03-2023,-16933.0,-14694.0,,,
14:23,27-03-2023,-14068.0,-15254.0,,,
14:24,27-03-2023,-13123.0,-15049.0,,,
14:25,27-03-2023,-11728.0,-14559.0,,,
14:26,27-03-2023,-11765.0,-19064.0,,,
14:27,27-03-2023,-12065.0,-25409.0,,,
14:28,27-03-2023,-12395.0,-21854.0,,,
14:29,27-03-2023,-10978.0,-24734.0,,,
14:30,27-03-2023,-13730.0,-20419.0,,,
14:31,27-03-2023,-14225.0,-18469.0,,,
14:32,27-03-2023,-13078.0,-23009.0,,,
14:33,27-03-2023,-14908.0,-20704.0,,,
14:34,27-03-2023,-13123.0,-21029.0,,,
14:35,27-03-2023,-11435.0,-22784.0,,,
14:36,27-03-2023,-12530.0,-20559.0,,,
14:37,27-03-2023,-12553.0,-18364.0,,,
14:38,27-03-2023,-12815.0,-21174.0,,,
14:39,27-03-2023,-15913.0,-16149.0,,,
14:40,27-03-2023,-17525.0,-10904.0,,,
14:41,27-03-2023,-14555.0,-12044.0,,,
14:42,27-03-2023,-16303.0,-12524.0,,,
14:43,27-03-2023,-17398.0,-14669.0,,,
14:44,27-03-2023,-18223.0,-11024.0,,,
14:45,27-03-2023,-18275.0,-6589.0,,,
14:46,27-03-2023,-17368.0,-10039.0,,,
14:47,27-03-2023,-14900.0,-11349.0,,,
14:48,27-03-2023,-14690.0,-12454.0,,,
14:49,27-03-2023,-15110.0,-10134.0,,,
14:50,27-03-2023,-15275.0,-9424.0,,,
14:51,27-03-2023,-14668.0,-10924.0,,,
14:52,27-03-2023,-15605.0,-13014.0,,,
14:53,27-03-2023,-15943.0,-11924.0,,,
14:54,27-03-2023,-14908.0,-14679.0,,,
14:55,27-03-2023,-16663.0,-12874.0,,,
14:55,27-03-2023,-16663.0,-12874.0,,,
14:56,27-03-2023,-17840.0,-10919.0,,,
14:57,27-03-2023,-17713.0,-10574.0,,,
14:58,27-03-2023,-18628.0,-11239.0,,,
14:59,27-03-2023,-18755.0,-7804.0,,,
15:00,27-03-2023,-23488.0,-12889.0,,,
15:01,27-03-2023,-27545.0,-8754.0,,,
15:02,27-03-2023,-29975.0,-10474.0,,,
15:03,27-03-2023,-32458.0,-7214.0,,,
15:04,27-03-2023,-30770.0,-2279.0,,,
15:05,27-03-2023,-33740.0,1006.0,,,
15:06,27-03-2023,-33553.0,2106.0,,,
15:07,27-03-2023,-32833.0,1616.0,,,
15:08,27-03-2023,-32983.0,4456.0,,,
15:09,27-03-2023,-32855.0,6841.0,,,
15:10,27-03-2023,-32915.0,3951.0,,,
15:11,27-03-2023,-34738.0,4431.0,,,
15:12,27-03-2023,-33748.0,6666.0,,,
15:13,27-03-2023,-34625.0,7936.0,,,
15:14,27-03-2023,-32330.0,9706.0,,,
15:15,27-03-2023,-33268.0,7926.0,,,
15:16,27-03-2023,-35450.0,5706.0,,,
15:17,27-03-2023,-35683.0,7291.0,,,
15:18,27-03-2023,-35278.0,10026.0,,,
15:19,27-03-2023,-35128.0,8556.0,,,
15:20,27-03-2023,-36335.0,8116.0,,,
15:21,27-03-2023,-34423.0,11241.0,,,
15:22,27-03-2023,-36350.0,7590.0,,,
15:23,27-03-2023,-34610.0,9090.0,,,
15:25,27-03-2023,-34460.0,9205.0,,,
15:26,27-03-2023,-33545.0,9250.0,,,
15:27,27-03-2023,-33485.0,10200.0,,,
15:29,27-03-2023,-33568.0,8595.0,,,
15:30,27-03-2023,-33568.0,9345.0,,,
15:07:18,28-03-2023,6772.0,63446.0,,,
15:07:27,28-03-2023,6910.0,64256.0,,,
15:07:36,28-03-2023,6826.0,65802.0,,,
15:07:46,28-03-2023,6730.0,66812.0,,,
15:09:40,28-03-2023,6724.0,64338.0,,,
15:09:50,28-03-2023,6484.0,62904.0,,,
15:09:59,28-03-2023,6370.0,57708.0,,,
15:27:32,28-03-2023,7056.0,56092.0,,,
15:27:36,28-03-2023,7038.0,56376.0,,,
15:07:18,28-03-2023,6772.0,63446.0,,,
15:07:27,28-03-2023,6910.0,64256.0,,,
15:07:36,28-03-2023,6826.0,65802.0,,,
15:07:46,28-03-2023,6730.0,66812.0,,,
15:09:40,28-03-2023,6724.0,64338.0,,,
15:09:50,28-03-2023,6484.0,62904.0,,,
15:09:59,28-03-2023,6370.0,57708.0,,,
15:27:32,28-03-2023,7056.0,56092.0,,,
15:27:36,28-03-2023,7038.0,56376.0,,,
15:41:04,28-03-2023,7044.0,56388.0,,,
15:41:14,28-03-2023,7044.0,56388.0,,,
15:41:27,28-03-2023,7044.0,56388.0,,,
16:55:30,28-03-2023,7044.0,56388.0,,,
16:55:36,28-03-2023,7044.0,56388.0,,,
16:55:46,28-03-2023,7044.0,56388.0,,,
16:55:53,28-03-2023,7044.0,56388.0,,,
16:56:00,28-03-2023,7044.0,56388.0,,,
16:56:04,28-03-2023,7044.0,56388.0,,,
16:56:11,28-03-2023,7044.0,56388.0,,,
16:57:36,28-03-2023,7044.0,56388.0,,,
16:57:44,28-03-2023,7044.0,56388.0,,,
17:16:10,2023-03-28,7044.0,56388.0,,,
17:16:17,2023-03-28,7044.0,56388.0,,,
17:16:20,2023-03-28,7044.0,56388.0,,,
17:16:27,2023-03-28,7044.0,56388.0,,,
17:16:39,2023-03-28,7044.0,56388.0,,,
17:16:46,2023-03-28,7044.0,56388.0,,,
17:16:56,2023-03-28,7044.0,56388.0,,,
17:17:29,2023-03-28,7044.0,56388.0,,,
17:17:33,2023-03-28,7044.0,56388.0,,,
17:17:43,2023-03-28,7044.0,56388.0,,,
17:17:46,2023-03-28,7044.0,56388.0,,,
17:17:50,2023-03-28,7044.0,56388.0,,,
17:19:01,2023-03-28,7044.0,56388.0,,,
17:19:11,2023-03-28,7044.0,56388.0,,,
17:19:17,2023-03-28,7044.0,56388.0,,,
17:19:26,2023-03-28,7044.0,56388.0,,,
17:19:33,2023-03-28,7044.0,56388.0,,,
17:19:42,2023-03-28,7044.0,56388.0,,,
17:19:55,2023-03-28,,56388.0,,,
17:23:05,2023-03-28,7044.0,56388.0,,,
17:23:12,2023-03-28,7044.0,56388.0,,,
17:23:17,2023-03-28,7044.0,56388.0,,,
17:23:21,2023-03-28,7044.0,56388.0,,,
17:23:24,2023-03-28,7044.0,56388.0,,,
17:23:28,2023-03-28,7044.0,56388.0,,,
17:23:35,2023-03-28,7044.0,56388.0,,,
17:23:39,2023-03-28,7044.0,56388.0,,,
17:24:56,2023-03-28,7044.0,56388.0,,,
17:25:01,2023-03-28,7044.0,56388.0,,,
17:25:07,2023-03-28,7044.0,56388.0,,,
17:29:26,2023-03-28,7044.0,56388.0,,,
17:29:30,2023-03-28,7044.0,56388.0,,,
17:29:34,2023-03-28,7044.0,56388.0,,,
17:29:38,2023-03-28,7044.0,56388.0,,,
17:29:43,2023-03-28,7044.0,56388.0,,,
17:29:46,2023-03-28,7044.0,56388.0,,,
17:29:51,2023-03-28,7044.0,56388.0,,,
17:29:55,2023-03-28,7044.0,56388.0,,,
17:29:59,2023-03-28,7044.0,56388.0,,,
17:30:03,2023-03-28,7044.0,56388.0,,,
17:30:06,2023-03-28,7044.0,56388.0,,,
17:30:10,2023-03-28,7044.0,56388.0,,,
17:30:14,2023-03-28,7044.0,56388.0,,,
17:30:18,2023-03-28,7044.0,56388.0,,,
17:30:21,2023-03-28,7044.0,56388.0,,,
17:30:25,2023-03-28,7044.0,56388.0,,,
17:30:29,2023-03-28,7044.0,56388.0,,,
17:30:33,2023-03-28,7044.0,56388.0,,,
17:30:37,2023-03-28,7044.0,56388.0,,,
17:30:41,2023-03-28,7044.0,56388.0,,,
17:30:45,2023-03-28,7044.0,56388.0,,,
17:30:48,2023-03-28,7044.0,56388.0,,,
17:30:52,2023-03-28,7044.0,56388.0,,,
17:30:59,2023-03-28,7044.0,56388.0,,,
17:31:02,2023-03-28,7044.0,56388.0,,,
17:31:06,2023-03-28,7044.0,56388.0,,,
17:31:12,2023-03-28,7044.0,56388.0,,,
17:31:19,2023-03-28,7044.0,56388.0,,,
17:31:23,2023-03-28,7044.0,56388.0,,,
17:31:33,2023-03-28,7044.0,56388.0,,,
17:31:37,2023-03-28,7044.0,56388.0,,,
17:31:40,2023-03-28,7044.0,56388.0,,,
17:31:44,2023-03-28,7044.0,56388.0,,,
17:31:48,2023-03-28,7044.0,56388.0,,,
17:31:55,2023-03-28,7044.0,56388.0,,,
17:31:59,2023-03-28,7044.0,56388.0,,,
17:32:06,2023-03-28,7044.0,56388.0,,,
17:32:11,2023-03-28,7044.0,56388.0,,,
17:32:18,2023-03-28,7044.0,56388.0,,,
17:32:21,2023-03-28,7044.0,56388.0,,,
17:32:25,2023-03-28,7044.0,56388.0,,,
17:32:29,2023-03-28,7044.0,56388.0,,,
17:47:37,2023-03-28,7044.0,56388.0,,,
17:48:08,2023-03-28,7044.0,56388.0,,,
17:48:18,2023-03-28,7044.0,56388.0,,,
17:48:22,2023-03-28,7044.0,56388.0,,,
17:48:26,2023-03-28,7044.0,56388.0,,,
17:48:33,2023-03-28,7044.0,56388.0,,,
17:48:37,2023-03-28,7044.0,56388.0,,,
17:48:41,2023-03-28,7044.0,56388.0,,,
15:07:18,28-03-2023,6772.0,63446.0,,,
15:07:27,28-03-2023,6910.0,64256.0,,,
15:07:36,28-03-2023,6826.0,65802.0,,,
15:07:46,28-03-2023,6730.0,66812.0,,,
15:09:40,28-03-2023,6724.0,64338.0,,,
15:09:50,28-03-2023,6484.0,62904.0,,,
15:09:59,28-03-2023,6370.0,57708.0,,,
15:27:32,28-03-2023,7056.0,56092.0,,,
15:27:36,28-03-2023,7038.0,56376.0,,,
15:41:04,28-03-2023,7044.0,56388.0,,,
15:41:14,28-03-2023,7044.0,56388.0,,,
15:41:27,28-03-2023,7044.0,56388.0,,,
16:55:30,28-03-2023,7044.0,56388.0,,,
16:55:36,28-03-2023,7044.0,56388.0,,,
16:55:46,28-03-2023,7044.0,56388.0,,,
16:55:53,28-03-2023,7044.0,56388.0,,,
16:56:00,28-03-2023,7044.0,56388.0,,,
16:56:04,28-03-2023,7044.0,56388.0,,,
16:56:11,28-03-2023,7044.0,56388.0,,,
16:57:36,28-03-2023,7044.0,56388.0,,,
16:57:44,28-03-2023,7044.0,56388.0,,,
17:16:10,2023-03-28,7044.0,56388.0,,,
17:16:17,2023-03-28,7044.0,56388.0,,,
17:16:20,2023-03-28,7044.0,56388.0,,,
17:16:27,2023-03-28,7044.0,56388.0,,,
17:16:39,2023-03-28,7044.0,56388.0,,,
17:16:46,2023-03-28,7044.0,56388.0,,,
17:16:56,2023-03-28,7044.0,56388.0,,,
17:17:29,2023-03-28,7044.0,56388.0,,,
17:17:33,2023-03-28,7044.0,56388.0,,,
17:17:43,2023-03-28,7044.0,56388.0,,,
17:17:46,2023-03-28,7044.0,56388.0,,,
17:17:50,2023-03-28,7044.0,56388.0,,,
17:19:01,2023-03-28,7044.0,56388.0,,,
17:19:11,2023-03-28,7044.0,56388.0,,,
17:19:17,2023-03-28,7044.0,56388.0,,,
17:19:26,2023-03-28,7044.0,56388.0,,,
17:19:33,2023-03-28,7044.0,56388.0,,,
17:19:42,2023-03-28,7044.0,56388.0,,,
17:19:55,2023-03-28,,56388.0,,,
17:23:05,2023-03-28,7044.0,56388.0,,,
17:23:12,2023-03-28,7044.0,56388.0,,,
17:23:17,2023-03-28,7044.0,56388.0,,,
17:23:21,2023-03-28,7044.0,56388.0,,,
17:23:24,2023-03-28,7044.0,56388.0,,,
17:23:28,2023-03-28,7044.0,56388.0,,,
17:23:35,2023-03-28,7044.0,56388.0,,,
17:23:39,2023-03-28,7044.0,56388.0,,,
17:24:56,2023-03-28,7044.0,56388.0,,,
17:25:01,2023-03-28,7044.0,56388.0,,,
17:25:07,2023-03-28,7044.0,56388.0,,,
17:29:26,2023-03-28,7044.0,56388.0,,,
17:29:30,2023-03-28,7044.0,56388.0,,,
17:29:34,2023-03-28,7044.0,56388.0,,,
17:29:38,2023-03-28,7044.0,56388.0,,,
17:29:43,2023-03-28,7044.0,56388.0,,,
17:29:46,2023-03-28,7044.0,56388.0,,,
17:29:51,2023-03-28,7044.0,56388.0,,,
17:29:55,2023-03-28,7044.0,56388.0,,,
17:29:59,2023-03-28,7044.0,56388.0,,,
17:30:03,2023-03-28,7044.0,56388.0,,,
17:30:06,2023-03-28,7044.0,56388.0,,,
17:30:10,2023-03-28,7044.0,56388.0,,,
17:30:14,2023-03-28,7044.0,56388.0,,,
17:30:18,2023-03-28,7044.0,56388.0,,,
17:30:21,2023-03-28,7044.0,56388.0,,,
17:30:25,2023-03-28,7044.0,56388.0,,,
17:30:29,2023-03-28,7044.0,56388.0,,,
17:30:33,2023-03-28,7044.0,56388.0,,,
17:30:37,2023-03-28,7044.0,56388.0,,,
17:30:41,2023-03-28,7044.0,56388.0,,,
17:30:45,2023-03-28,7044.0,56388.0,,,
17:30:48,2023-03-28,7044.0,56388.0,,,
17:30:52,2023-03-28,7044.0,56388.0,,,
17:30:59,2023-03-28,7044.0,56388.0,,,
17:31:02,2023-03-28,7044.0,56388.0,,,
17:31:06,2023-03-28,7044.0,56388.0,,,
17:31:12,2023-03-28,7044.0,56388.0,,,
17:31:19,2023-03-28,7044.0,56388.0,,,
17:31:23,2023-03-28,7044.0,56388.0,,,
17:31:33,2023-03-28,7044.0,56388.0,,,
17:31:37,2023-03-28,7044.0,56388.0,,,
17:31:40,2023-03-28,7044.0,56388.0,,,
17:31:44,2023-03-28,7044.0,56388.0,,,
17:31:48,2023-03-28,7044.0,56388.0,,,
17:31:55,2023-03-28,7044.0,56388.0,,,
17:31:59,2023-03-28,7044.0,56388.0,,,
17:32:06,2023-03-28,7044.0,56388.0,,,
17:32:11,2023-03-28,7044.0,56388.0,,,
17:32:18,2023-03-28,7044.0,56388.0,,,
17:32:21,2023-03-28,7044.0,56388.0,,,
17:32:25,2023-03-28,7044.0,56388.0,,,
17:32:29,2023-03-28,7044.0,56388.0,,,
17:47:37,2023-03-28,7044.0,56388.0,,,
17:48:08,2023-03-28,7044.0,56388.0,,,
17:48:18,2023-03-28,7044.0,56388.0,,,
17:48:22,2023-03-28,7044.0,56388.0,,,
17:48:26,2023-03-28,7044.0,56388.0,,,
17:48:33,2023-03-28,7044.0,56388.0,,,
17:48:37,2023-03-28,7044.0,56388.0,,,
17:48:41,2023-03-28,7044.0,56388.0,,,
13:32,2023-03-29,-7945.0,-46676.0,13642.0,-13135.0,13.0
13:33,2023-03-29,-10767.0,-48769.0,11966.0,-12735.0,-490.0
13:34,2023-03-29,-9860.0,-47881.0,12191.0,-12847.0,-130.0
13:37,2023-03-29,-10802.0,-43950.0,13526.0,-13248.0,1175.0
13:38,2023-03-29,-12880.0,-58554.0,10590.0,-14250.0,1055.0
13:39,2023-03-29,-12210.0,-52637.0,11689.0,-13920.0,403.0
13:40,2023-03-29,-10315.0,-43971.0,13770.0,-12027.0,2041.0
13:41,2023-03-29,-10742.0,-43805.0,13252.0,-13470.0,1760.0
13:42,2023-03-29,-13032.0,-59370.0,10050.0,-14020.0,-1026.0
13:43,2023-03-29,-12872.0,-56434.0,11077.0,-14490.0,1344.0
13:44,2023-03-29,-10580.0,-48762.0,13496.0,-13270.0,2990.0
13:45,2023-03-29,-10425.0,-51259.0,12574.0,-14112.0,901.0
13:46,2023-03-29,-11865.0,-50356.0,11614.0,-14285.0,1693.0
13:47,2023-03-29,-12542.0,-50515.0,10526.0,-13682.0,808.0
13:47,2023-03-29,-12542.0,,10526.0,-13682.0,808.0
13:48,2023-03-29,-12080.0,-51024.0,10826.0,-13350.0,1438.0
13:49,2023-03-29,-12362.0,-56326.0,10970.0,-13755.0,946.0
13:50,2023-03-29,-12052.0,-57136.0,10099.0,-14170.0,654.0
13:51,2023-03-29,-11662.0,-52272.0,11076.0,-13093.0,1415.0
13:52,2023-03-29,-11402.0,-46257.0,12412.0,-14628.0,1273.0
13:53,2023-03-29,-10282.0,-45171.0,12405.0,-14155.0,2608.0
13:54,2023-03-29,-7485.0,-41611.0,15495.0,-11393.0,1033.0
13:55,2023-03-29,-3272.0,-31237.0,19084.0,-8735.0,-475.0
13:56,2023-03-29,-2937.0,-30161.0,16509.0,-11475.0,-1026.0
13:57,2023-03-29,-4915.0,-30929.0,16132.0,-11062.0,
13:58,2023-03-29,-4782.0,-36450.0,16335.0,-12315.0,264.0
13:59,2023-03-29,-4675.0,-39792.0,15637.0,-10652.0,1145.0
14:00,2023-03-29,-3135.0,-35040.0,16889.0,-9475.0,-1214.0
14:01,2023-03-29,-1960.0,-30745.0,17884.0,,
14:02,2023-03-29,-2013.0,-26490.0,18930.0,-9367.0,890.0
14:03,2023-03-29,840.0,-24041.0,19934.0,-8790.0,2090.0
14:04,2023-03-29,2038.0,-17569.0,20629.0,-8780.0,1809.0
